x y z
-10.0402 -96.1452 -8.53669
-17.8947 -98.9303 -9.44847
-18.8652 -98.5161 -8.70152
-19.6075 -98.1105 -8.37008
-3.65236 -97.2158 -9.02663
-4.63692 -97.7931 -9.27558
-5.88953 -98.3311 -9.44312
-7.0511 -98.4833 -9.35452
-7.72906 -98.1912 -9.32162
-9.43601 -97.659 -9.07002
-9.58381 -96.9338 -9.202
-9.84618 -96.356 -8.83203
-17.8358 -98.9471 -9.9154
-18.679 -98.4837 -9.75047
-4.26888 -97.4319 -9.95041
-5.01747 -97.7782 -10.1337
-6.20884 -98.1427 -10.249
-7.32843 -98.0803 -10.0193
-9.23781 -97.414 -10.2121
-9.38591 -96.6635 -10.3822
-17.9694 -99.0189 -10.4905
-19.2462 -98.4597 -10.937
-20.0631 -98.0056 -11.3677
-8.92919 -97.0979 -11.2638
-9.00674 -96.6733 -10.8436
-19.0769 -98.6579 -11.9331
-19.8332 -98.1842 -12.3304
-20.942 -97.385 -12.2702
-21.6192 -97.0287 -12.1398
-7.82337 -97.9391 -13.4692
-8.50508 -98.0029 -12.6415
-19.8898 -98.0338 -13.8305
-20.7298 -97.4345 -13.3215
-21.6096 -96.9396 -12.7985
-7.07927 -97.9705 -15.1452
-7.46385 -98.1883 -14.588
-8.13656 -98.3327 -13.7896
-16.8951 -98.4594 -15.7007
-17.7891 -98.3468 -15.5831
-19.1643 -98.1707 -15.0277
-20.6247 -97.2716 -14.9241
-21.431 -96.7121 -13.8653
-7.26325 -97.8623 -15.8848
-8.25779 -98.2496 -15.7407
-9.43657 -98.3678 -16.3856
-10.8777 -98.4064 -16.9107
-12.3491 -98.377 -16.8935
-13.7818 -98.3248 -17.0793
-15.2997 -98.1754 -17.194
-16.9639 -97.9872 -16.9457
-18.5653 -97.7124 -16.8007
-19.9756 -97.1407 -16.4459
-20.5421 -96.9447 -15.7606
-7.83325 -97.8428 -17.0253
-8.77648 -97.9142 -17.4706
-9.99473 -98.0349 -18.0053
-11.0638 -98.1053 -18.5019
-11.8729 -98.1643 -18.0941
-13.0315 -98.0803 -18.6346
-14.4683 -98.0329 -18.7739
-16.0631 -97.5406 -19.0309
-17.7971 -97.3144 -18.4761
-18.9418 -97.009 -17.8073
-13.7229 -98.0436 -19.9361
-14.8057 -97.8741 -20.491
-15.9858 -97.4524 -20.8694
-11.4971 -95.6332 9.62334
-12.2518 -95.8796 9.64583
-13.4396 -96.1313 9.68233
-14.3998 -96.2257 9.53489
-10.0846 -95.4678 8.54876
-11.2841 -95.7762 9.00325
-12.7133 -96.246 8.98943
-13.884 -96.4215 9.00291
-14.8756 -96.4063 8.98685
-15.8841 -96.3399 9.04557
-16.8972 -96.156 8.98216
-17.5518 -96.043 8.86745
-9.90481 -95.5667 8.12492
-10.7125 -95.8529 8.20601
-12.0101 -96.3226 8.21805
-13.4255 -96.4944 8.326
-14.4254 -96.5241 8.46241
-15.3706 -96.526 8.34955
-16.4754 -96.4596 8.31707
-17.5408 -96.3126 8.30465
-11.9936 -96.4343 7.62449
-12.9672 -96.5699 7.62219
-14.5326 -96.6604 7.73749
-15.9781 -96.6102 7.66153
-17.089 -96.4745 7.63191
-17.9218 -96.3507 7.60092
-8.64919 -95.7753 5.82666
-9.39094 -96.3021 5.83263
-10.7441 -96.7574 5.78755
-11.8692 -97.0528 5.68304
-8.40908 -95.8926 5.10333
-9.54369 -96.7194 5.25152
-10.8184 -97.1925 5.24689
-12.2858 -97.3348 5.25004
-14.0092 -97.349 5.47701
-15.2068 -97.5108 5.37601
-16.2105 -97.4754 5.30781
-17.1573 -97.4335 5.26905
-17.9127 -97.3843 5.15133
-18.6649 -97.1298 5.19457
-19.2791 -96.9167 5.16079
-8.34784 -96.1611 3.98662
-14.758 -97.0897 5.76798
-15.2798 -97.1431 5.68842
-16.1633 -97.1141 5.63181
-17.0512 -97.0595 5.61517
-17.9883 -96.9156 5.52177
-18.961 -96.5448 5.49857
-19.9461 -96.4883 5.26618
-21.0806 -96.3999 5.09848
-22.1148 -96.4439 4.64388
-8.23953 -95.6557 3.15495
-8.3554 -95.2077 2.46524
-21.5089 -97.0037 4.07896
-22.2795 -97.0019 3.44604
-8.31152 -95.7765 2.26767
-8.41423 -95.1758 1.42153
-8.88866 -94.819 0.987252
-21.3885 -97.7821 1.90239
-21.7184 -97.4785 2.73744
-22.2678 -97.2371 2.85098
-6.18346 -96.6807 0.582349
-7.04044 -96.6936 0.847833
